Angle	Impulses
a/º	Z/#/5s

11,2	135,0
12,0	127,0
12,8	129,0
13,7	240,0
14,5	407,0
15,3	570,0
16,1	705,0
16,9	898,0
17,7	1093,0
18,5	1275,0
19,3	1413,0
20,1	1518,0
20,9	1596,0
21,7	1714,0
22,5	1693,0
23,4	1596,0
24,2	1667,0
25,0	1610,0
25,8	1726,0
26,6	2231,0
27,4	2202,0
28,2	2186,0
29,0	2050,0
29,8	2030,0
30,6	1919,0
31,4	1851,0
32,3	1706,0
33,1	1658,0
33,8	1587,0
34,6	1502,0
35,4	1322,0
36,2	1241,0
37,0	1289,0
37,8	1126,0
38,6	1111,0
39,4	1292,0
