k_beta_angles,k_beta_angles_stderr,k_beta_bragg,k_beta_bragg_stderr,k_beta_energies_js,k_beta_energies_js_stderr,k_beta_energies_kev,k_beta_energies_kev_stderr,k_alpha_angles,k_alpha_angles_stderr,k_alpha_bragg,k_alpha_bragg_stderr,k_alpha_energies_js,k_alpha_energies_js_stderr,k_alpha_energies_kev,k_alpha_energies_kev_stderr
"22,667579609584905","0,5","11,333789804792453","0,25","1,5338213721154937e-15","3,3390487485536565e-17","9,573360155561401","0,20840703375251818","25,18893325404031","0,5","12,594466627020156","0,25","1,3824111559919986e-15","2,6997445670647386e-17","8,62833190355419","0,16850480465586323"
"47,94800826813557","0,5","23,974004134067783","0,25","3,7092905766300353e-16","3,6396163974892455e-18","2,315157113942959","0,02271669911157545","53,454999822628466","0,5","26,727499911314233","0,25","3,351138150919182e-16","2,903807782299455e-18","2,0916159490947375","0,01812414289424929"
"76,041180141375","0,5","38,0205900706875","0,25","1,6312795452370368e-16","9,103623018148357e-19","1,0181646236559714","0,005682034652639507","86,56528959464478","0,5","43,28264479732239","0,25","1,4655498417762892e-16","6,789975857076926e-19","0,9147242773061317","0,004237969655991306"
